 i, m(i) , mdata(i) , weights(i) , loss(1,i) ,nobs(i)
  57,          0.38572091,          0.34527000,       7692.30769231,         -0.04045091,   2157,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                       
  58,          0.54309786,          0.42706000,       5000.00000000,         -0.11603786,   1543,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_12._15._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                      
  59,          0.75595238,          0.67752000,       1408.45070423,         -0.07843238,    336,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_16._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  60,          0.44671403,          0.39923000,       2173.91304348,         -0.04748403,   1126,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_0._0._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  61,          0.47147073,          0.38581000,       8333.33333333,         -0.08566073,   4066,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_1._2._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  62,          0.31116992,          0.25810000,      25000.00000000,         -0.05306992,   9069,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_3._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                      
  63,          0.09212598,          0.34906000,       1408.45070423,          0.25693402,   1270,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  64,          0.33805811,          0.28019000,       1030.92783505,         -0.05786811,   4233,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  65,          0.31738035,          0.28791000,       2222.22222222,         -0.02947035,   1191,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  66,          0.44661054,          0.28398000,       7142.85714286,         -0.16263054,   6771,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  67,          0.04263006,          0.05668000,      33333.33333333,          0.01404994,   8304,Part-Time     _Age_51._75._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                  
  68,          0.03593619,          0.07712000,      16666.66666667,          0.04118381,   5955,Part-Time     _Age_51._75._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                  
  69,          0.60922005,          0.57358000,       6666.66666667,         -0.03564005,   3731,FLFP     _Age_51._55._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  70,          0.61020630,          0.57042000,       4545.45454545,         -0.03978630,   2763,FLFP     _Age_56._60._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  71,          0.52994171,          0.46888000,       2941.17647059,         -0.06106171,   1887,FLFP     _Age_61._65._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  72,          0.46892655,          0.38686000,       1149.42528736,         -0.08206655,    708,FLFP     _Age_66._70._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  73,          0.53346788,          0.59773000,       4347.82608696,          0.06426212,   2973,FLFP     _Age_51._55._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  74,          0.52544704,          0.52769000,       2631.57894737,          0.00224296,   1454,FLFP     _Age_56._60._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  75,          0.47932619,          0.41606000,       1123.59550562,         -0.06326619,    653,FLFP     _Age_61._65._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  76,          0.51304348,          0.31683000,        467.28971963,         -0.19621348,    115,FLFP     _Age_66._70._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  77,          0.36170213,          0.30556000,        169.77928693,         -0.05614213,     47,FLFP     _Age_71._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  78,          0.49132948,          0.50074000,       8333.33333333,          0.00941052,   5536,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_0._7._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                          
  79,          0.71612046,          0.47842000,       3333.33333333,         -0.23770046,   2258,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                         
  80,          0.65346535,          0.62549000,       3333.33333333,         -0.02797535,   1313,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_12._15._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  81,          0.70196078,          0.67925000,        970.87378641,         -0.02271078,    255,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_16._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                       
  82,          0.42194093,          0.37750000,       3448.27586207,         -0.04444093,   3318,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_0._7._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                          
  83,          0.54567308,          0.53741000,       2380.95238095,         -0.00826308,    832,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                         
  84,          0.79952267,          0.63550000,       2272.72727273,         -0.16402267,    838,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_12._15._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  85,          0.84645669,          0.87500000,       1886.79245283,          0.02854331,    254,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_16._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                       
  86,          0.00000000,          0.07853000,       8333.33333333,          0.07853000,   1436,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_0._0._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                          
  87,          0.66303690,          0.27684000,       2631.57894737,         -0.38619690,   1653,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_1._10._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                         
  88,          0.68166587,          0.68673000,      12500.00000000,          0.00506413,   6267,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_11._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                       
  89,          0.00000000,          0.06623000,       7142.85714286,          0.06623000,   1125,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_0._0._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                          
  90,          0.55684755,          0.46320000,       1851.85185185,         -0.09364755,   1548,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_1._10._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                         
  91,          0.73346457,          0.73768000,       6250.00000000,          0.00421543,   2540,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_11._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                       
  92,          0.22402159,          0.14200000,      14285.71428571,         -0.08202159,   3705,HHLFP     _Age_51._75._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                 
  93,          0.28933873,          0.34298000,       8333.33333333,          0.05364127,   3705,HHLFP     _Age_51._75._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                 
