 i, m(i) , mdata(i) , weights(i) , loss(1,i) ,nobs(i)
 140,          0.23891001,          0.30827000,       1886.79245283,          0.06935999,   1578,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_1._1._Ass_-999._999._Year_-999._999.                      
 141,          0.14512041,          0.16291000,       2941.17647059,          0.01778959,   1578,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_1._1._Ass_-999._999._Year_-999._999.                      
 142,          0.11026616,          0.06015000,       7142.85714286,         -0.05011616,   1578,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_1._1._Ass_-999._999._Year_-999._999.                      
 143,          0.17363752,          0.13033000,       3571.42857143,         -0.04330752,   1578,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_1._1._Ass_-999._999._Year_-999._999.                      
 144,          0.15463918,          0.24598000,       2325.58139535,          0.09134082,    679,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_0._0._Ass_-999._999._Year_-999._999.                      
 145,          0.30633284,          0.25057000,       2325.58139535,         -0.05576284,    679,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_0._0._Ass_-999._999._Year_-999._999.                      
 146,          0.20324006,          0.25747000,       2272.72727273,          0.05422994,    679,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_0._0._Ass_-999._999._Year_-999._999.                      
 147,          0.11340206,          0.14483000,       3571.42857143,          0.03142794,    679,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_0._0._Ass_-999._999._Year_-999._999.                      
 148,          0.08689249,          0.03448000,      12500.00000000,         -0.05241249,    679,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_0._0._Ass_-999._999._Year_-999._999.                      
 149,          0.13549337,          0.06667000,       7142.85714286,         -0.06882337,    679,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_0._0._Ass_-999._999._Year_-999._999.                      
 150,          0.09831029,          0.09910000,       3703.70370370,          0.00078971,    651,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_12._15._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_1._1._Ass_-999._999._Year_-999._999.                     
 151,          0.17665131,          0.17117000,       2325.58139535,         -0.00548131,    651,Earning_Bins     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_12._15._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_1._1._Ass_-999._999._Year_-999._999.                     
