		collinear	means	Assets	Assets	LFP	LFP	Cov	Cov	Earn	Earn	lagEarn	lagEarn	EarnDif	EarnDif	NbEarn	NbEarn	NbCov	NbCov	Age	Age	Married	Married	Female	Female	Numk	Numk	Edu	Edu	XP	XP	CovXP	CovXP	Cohort	Cohort	LFP	LFP	Cov	Cov	lagLFP	lagLFP	lagCov	lagCov	Assets	Assets	Year	Year	YearOdd	YearOdd
79	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	0	0	-999	999	8	11	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
80	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	0	0	-999	999	12	15	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
81	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	0	0	-999	999	16	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
82	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	0	7	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
83	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	8	11	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
84	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	12	15	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
85	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	16	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
86	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	0	0	-999	999	-999	999	-999	999	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
87	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	0	0	-999	999	-999	999	-999	999	1	10	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
88	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	0	0	-999	999	-999	999	-999	999	11	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
89	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
90	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	1	10	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
91	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	11	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
92	HHLFP	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2	2	-999	999	51	75	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
93	HHLFP	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	0	0	-999	999	51	75	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
94	HHLFP	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2	2	51	75	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
95	HHLFP	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	0	0	51	75	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
96	FtoF	0	0	-999	999	1	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	1	1	1	1	-999	999	2006	2006	0	0
97	FtoI	0	0	-999	999	1	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	1	1	1	1	-999	999	2006	2006	0	0
98	FtoH	0	0	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	1	1	1	1	-999	999	2006	2006	0	0
99	ItoF	0	0	-999	999	1	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	1	1	0	0	-999	999	2006	2006	0	0
